participant	session	routine	component	trial_index	trial_name	identifier	sample_index	time	white_force	blue_force
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	0	0.031275900022592396	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	1	0.031289400008972734	3	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	2	0.04947249998804182	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	3	0.04951079998863861	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	4	0.059396900003775954	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	5	0.059433999995235354	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	6	0.07050390000222251	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	7	0.07054330001119524	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	8	0.07943230000091717	11	4
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	9	0.07945069996640086	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	10	0.0893439999781549	1	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	11	0.08937539998441935	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	12	0.09940559999085963	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	13	0.09943090000888333	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	14	0.109536100004334	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	15	0.10955220001051202	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	16	0.11945679999189451	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	17	0.11947839998174459	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	18	0.12920319999102503	12	6
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	19	0.1292307999683544	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	20	0.1396983999875374	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	21	0.13972279999870807	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	22	0.14941249997355044	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	23	0.1494669999810867	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	24	0.15955789998406544	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	25	0.15960730001097545	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	26	0.16941779997432604	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	27	0.1694483999744989	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	28	0.17935619998024777	13	5
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	29	0.1793772000237368	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	30	0.18945020000683144	3	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	31	0.18950580002274364	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	32	0.19953859999077395	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	33	0.19956540002021939	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	34	0.2092852999921888	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	35	0.20930819999193773	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	36	0.2195194999803789	0	0
